Judul,Penulis,Review,ISBN,Jumlah_Penilai,Tahun_Penerbitan,,
Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,9.78044E+12,2095690,16-09-06,,
Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,9.78044E+12,2153167,01-09-04,,
Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,9.78044E+12,6333,01-11-03,,
Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,9.78044E+12,2339585,01-05-04,,
Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78,9.78044E+12,41428,13-09-04,,
"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,9.78098E+12,19,26-04-05,,
Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,9.78044E+12,28242,12-09-05,,
The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,9.78052E+12,3628,01-11-05,,
The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,9.78035E+12,249558,30-04-02,,
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,9.7814E+12,4930,03-08-04,,
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22,9.78074E+12,1266,23-03-05,,
The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,9.78052E+12,2877,17-01-96,,
A Short History of Nearly Everything,Bill Bryson,4.21,9.78077E+12,248558,14-09-04,,
Bill Bryson's African Diary,Bill Bryson,3.44,9.78077E+12,7270,03-12-02,,
Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,9.78077E+12,2088,14-09-04,,
In a Sunburned Country,Bill Bryson,4.07,9.78077E+12,72451,15-05-01,,
I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,9.78077E+12,49240,28-06-00,,
The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,9.78006E+12,45712,28-08-90,,
Neither Here nor There: Travels in Europe,Bill Bryson,3.86,9.78038E+12,48701,28-03-93,,
Notes from a Small Island,Bill Bryson,3.91,9.78038E+12,80609,28-05-97,,
The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,9.78038E+12,28489,28-09-91,,
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,9.78035E+12,101233,25-09-12,,
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,9.78062E+12,1710,21-10-04,,
The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,9.78062E+12,2128944,05-09-03,,
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.5,9.78062E+12,1618,01-10-02,,
The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,9.78062E+12,19822,05-11-03,,
The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,9.78062E+12,359,15-11-04,,
Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,9.78098E+12,1430,28-07-05,,
Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,9.78069E+12,270244,01-04-00,,
"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4,9.78156E+12,36,28-08-94,,
Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,9.78039E+12,2067,23-01-01,,
Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,9.78158E+12,6,10-06-03,,
Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,9.7816E+12,99,01-11-05,,
A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,9.7816E+12,167,01-11-05,,
Changeling (Changeling  #1),Delia Sherman,3.6,9.78067E+12,978,17-08-06,,
The Changeling Sea,Patricia A. McKillip,4.06,9.78014E+12,4454,14-04-03,,
The Changeling,Zilpha Keatley Snyder,4.17,9.7806E+12,1176,08-06-04,,
The Changeling,Kate Horsley,3.55,9.78159E+12,301,12-04-05,,
